Indicator,Disaggregation combinations using this value
#1-1-1,10
#1-2-1,1
#1-3-1,12
#1-4-1,6
#1-5-4,1
#1-a-1,1
#10-2-1,1
#10-4-1,1
#10-5-1,7
#10-6-1,12
#10-7-4,1
#10-a-1,7
#10-c-1,1
#11-1-1,1
#11-6-1,1
#11-b-2,1
#12-4-1,4
#12-5-1,1
#13-1-3,1
#14-7-1,1
#15-1-1,1
#15-1-2,2
#15-2-1,1
#15-3-1,1
#15-4-1,1
#15-4-2,4
#16-2-1,1
#16-3-2,1
#16-5-1,3
#16-5-2,1
#16-6-1,1
#16-8-1,12
#16-9-1,1
#17-1-1,1
#17-1-2,1
#17-10-1,14
#17-15-1,4
#17-3-2,1
#17-4-1,1
#2-1-1,1
#2-1-2,6
#2-2-1,1
#2-2-2,2
#2-2-3,3
#2-5-2,1
#2-a-1,1
#3-1-2,1
#3-3-4,1
#3-4-1,3
#3-5-1,3
#3-7-1,1
#3-8-2,2
#3-a-1,3
#3-b-1,3
#3-c-1,4
#3-d-1,26
#3-d-2,2
#4-1-1,7
#4-1-2,162
#4-2-1,3
#4-2-2,3
#4-3-1,3
#4-4-1,24
#5-2-1,2
#5-3-1,2
#5-5-1,2
#5-5-2,2
#5-c-1,1
#6-1-1,1
#6-2-1,8
#6-3-1,3
#6-3-2,4
#6-4-2,1
#6-5-1,1
#6-5-2,3
#6-6-1,15
#7-1-1,3
#7-1-2,1
#7-2-1,1
#8-1-1,1
#8-10-2,3
#8-2-1,1
#8-3-1,9
#8-5-2,9
#8-6-1,3
#9-2-1,2
#9-2-2,1
#9-3-1,1
#9-3-2,1
#9-5-1,1
#9-b-1,1
#9-c-1,3
