Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2019,SI_POV_EMP1,PT,Y_GE15,_T,0.07
2020,SI_POV_EMP1,PT,Y_GE15,_T,0.1
2021,SI_POV_EMP1,PT,Y_GE15,_T,0.1
2022,SI_POV_EMP1,PT,Y_GE15,_T,0.1
2019,SI_POV_EMP1,PT,Y_GE15,F,0.08
2019,SI_POV_EMP1,PT,Y_GE15,M,0.06
2019,SI_POV_EMP1,PT,Y15T24,_T,0.19
2019,SI_POV_EMP1,PT,Y15T24,F,0.43
2019,SI_POV_EMP1,PT,Y15T24,M,0.03
2019,SI_POV_EMP1,PT,Y_GE25,_T,0.06
2019,SI_POV_EMP1,PT,Y_GE25,F,0.05
2019,SI_POV_EMP1,PT,Y_GE25,M,0.06
2001,SI_POV_DAY1,PT,,,0.3
2004,SI_POV_DAY1,PT,,,0.2
2007,SI_POV_DAY1,PT,,,0.1
2011,SI_POV_DAY1,PT,,,0.1
